person_id,person_name,election_id,ballot_paper_id,election_date,election_current,party_name,party_id,post_label,cancelled_poll,seats_contested,homepage_url
109030,Tamara Micner,local.hackney.2024-01-18,local.hackney.cazenove.by.2024-01-18,2024-01-18,f,Green Party,PP63,Cazenove,f,1,https://www.tamaramicner.com/
7045,Dave Raval,local.hackney.2024-01-18,local.hackney.cazenove.by.2024-01-18,2024-01-18,f,Liberal Democrats,PP90,Cazenove,f,1,http://www.daveraval.com
37101,Nick Humberstone,local.wandsworth.2024-01-18,local.wandsworth.tooting-broadway.by.2024-01-18,2024-01-18,f,Green Party,PP63,Tooting Broadway,f,1,https://portfoliowebsite-jxta.vercel.app/contact
20211,Emma Edhem,local.city-of-london-alder.2024-02-01,local.city-of-london-alder.candlewick.2024-02-01,2024-02-01,f,Independent,ynmp-party:2,Candlewick,f,1,http://emma-edhem.org/
23150,Jonathan David Millard,local.blaenau-gwent.2024-02-08,local.blaenau-gwent.ebbw-vale-south.by.2024-02-08,2024-02-08,f,Independent,ynmp-party:2,Ebbw Vale South,f,1,https://www.blaenau-gwent.gov.uk/en/council/councillors-and-committees/councillor-directory/councillor-jonathan-david-millard/
109120,Michael Howarth,parl.2024-02-29,parl.rochdale.by.2024-02-29,2024-02-29,f,Independent,ynmp-party:2,Rochdale,f,1,https://votemichael.co.uk/
89373,Justin Mark Griffiths,local.carmarthenshire.2024-03-06,local.carmarthenshire.elli.by.2024-03-06,2024-03-06,f,Liberal Democrats,PP90,Elli,f,1,https://www.libdems.org.uk/manifesto
109128,Malcolm Francis McConnell,local.glasgow-city.2024-03-07,local.glasgow-city.hillhead.by.2024-03-07,2024-03-07,f,Scottish National Party (SNP),PP102,Hillhead,f,1,https://malcolmmcconnell.scot/
45153,Brenda Dacres,mayor.lewisham.2024-03-07,mayor.lewisham.2024-03-07,2024-03-07,f,Labour and Co-operative Party,joint-party:53-119,London Borough of Lewisham,f,1,https://www.backbrenda.com/
109247,Jonathan Mark Swales,local.north-yorkshire.2024-04-11,local.north-yorkshire.stray-woodlands-hookstone.by.2024-04-11,2024-04-11,f,Reform UK,PP7931,"Stray, Woodlands & Hookstone",f,1,https://reformuk.org.uk/harrogate/
4870,Shahrar Ali,gla.a.2024-05-02,gla.a.2024-05-02,2024-05-02,f,Green Party,PP63,London Assembly,f,11,http://electshahrar.co.uk/
7940,Rob Blackie,gla.a.2024-05-02,gla.a.2024-05-02,2024-05-02,f,Liberal Democrats,PP90,London Assembly,f,11,http://www.rob4london.com/
8000,Susan Hall,gla.a.2024-05-02,gla.a.2024-05-02,2024-05-02,f,Conservative and Unionist Party,PP52,London Assembly,f,11,https://www.susan.london/
7400,Vanessa Hudson,gla.a.2024-05-02,gla.a.2024-05-02,2024-05-02,f,Animal Welfare Party,PP616,London Assembly,f,11,http://www.animalwelfareparty.org/
